,Seq-1
Idx-1,17
Idx-2,30
Idx-3,61
Idx-4,4
Idx-5,71
Idx-6,65
Idx-7,13
Idx-8,34
Idx-9,15
Idx-10,62
Idx-11,47
Idx-12,49
Idx-13,23
Idx-14,1
Idx-15,43
Idx-16,10
Idx-17,9
Idx-18,29
Idx-19,5
Idx-20,18
Idx-21,40
Idx-22,56
Idx-23,58
Idx-24,54
Idx-25,21
Idx-26,35
Idx-27,19
Idx-28,12
Idx-29,45
Idx-30,6
Idx-31,68
Idx-32,57
Idx-33,44
Idx-34,53
Idx-35,24
Idx-36,63
Idx-37,50
Idx-38,70
Idx-39,39
Idx-40,16
Idx-41,48
Idx-42,73
Idx-43,32
Idx-44,64
Idx-45,77
Idx-46,60
Idx-47,22
Idx-48,72
Idx-49,59
Idx-50,76
Idx-51,55
Idx-52,36
Idx-53,78
Idx-54,8
Idx-55,11
Idx-56,31
Idx-57,52
Idx-58,37
Idx-59,41
Idx-60,27
Idx-61,26
Idx-62,38
Idx-63,3
Idx-64,69
Idx-65,33
Idx-66,2
Idx-67,66
Idx-68,20
Idx-69,14
Idx-70,75
Idx-71,67
Idx-72,46
Idx-73,51
Idx-74,7
Idx-75,25
Idx-76,74
Idx-77,42
Idx-78,28
Idx-79,17
Idx-80,30
Idx-81,61
Idx-82,4
Idx-83,71
Idx-84,65
Idx-85,13
Idx-86,34
Idx-87,15
Idx-88,62
Idx-89,47
Idx-90,49
Idx-91,23
Idx-92,1
Idx-93,43
Idx-94,10
Idx-95,9
Idx-96,29
Idx-97,5
Idx-98,18
Idx-99,40
Idx-100,56
Idx-101,58
Idx-102,54
Idx-103,21
Idx-104,35
Idx-105,19
Idx-106,12
Idx-107,45
Idx-108,6
Idx-109,68
Idx-110,57
Idx-111,44
Idx-112,53
Idx-113,24
Idx-114,63
Idx-115,50
Idx-116,70
Idx-117,39
Idx-118,16
Idx-119,48
Idx-120,73
Idx-121,32
Idx-122,64
Idx-123,77
Idx-124,60
Idx-125,22
Idx-126,72
Idx-127,59
Idx-128,76
Idx-129,55
Idx-130,36
Idx-131,78
Idx-132,8
Idx-133,11
Idx-134,31
Idx-135,52
Idx-136,37
Idx-137,41
Idx-138,27
Idx-139,26
Idx-140,38
Idx-141,3
Idx-142,69
Idx-143,33
Idx-144,2
Idx-145,66
Idx-146,20
Idx-147,14
Idx-148,75
Idx-149,67
Idx-150,46
Idx-151,51
Idx-152,7
Idx-153,25
Idx-154,74
Idx-155,42
Idx-156,28
Idx-157,17
Idx-158,30
Idx-159,61
Idx-160,4
Idx-161,71
Idx-162,65
Idx-163,13
Idx-164,34
Idx-165,15
Idx-166,62
Idx-167,47
Idx-168,49
Idx-169,23
Idx-170,1
Idx-171,43
Idx-172,10
Idx-173,9
Idx-174,29
Idx-175,5
Idx-176,18
Idx-177,40
Idx-178,56
Idx-179,58
Idx-180,54
Idx-181,21
Idx-182,35
Idx-183,19
Idx-184,12
Idx-185,45
Idx-186,6
Idx-187,68
Idx-188,57
Idx-189,44
Idx-190,53
Idx-191,24
Idx-192,63
Idx-193,50
Idx-194,70
Idx-195,39
Idx-196,16
Idx-197,48
Idx-198,73
Idx-199,32
Idx-200,64
Idx-201,77
Idx-202,60
Idx-203,22
Idx-204,72
Idx-205,59
Idx-206,76
Idx-207,55
Idx-208,36
Idx-209,78
Idx-210,8
Idx-211,11
Idx-212,31
Idx-213,52
Idx-214,37
Idx-215,41
Idx-216,27
Idx-217,26
Idx-218,38
Idx-219,3
Idx-220,69
Idx-221,33
Idx-222,2
Idx-223,66
Idx-224,20
Idx-225,14
Idx-226,75
Idx-227,67
Idx-228,46
Idx-229,51
Idx-230,7
Idx-231,25
Idx-232,74
Idx-233,42
Idx-234,28
Idx-235,17
Idx-236,30
Idx-237,61
Idx-238,4
Idx-239,71
Idx-240,65
Idx-241,13
Idx-242,34
Idx-243,15
Idx-244,62
Idx-245,47
Idx-246,49
Idx-247,23
Idx-248,1
Idx-249,43
Idx-250,10
Idx-251,9
Idx-252,29
Idx-253,5
Idx-254,18
Idx-255,40
Idx-256,56
Idx-257,58
Idx-258,54
Idx-259,21
Idx-260,35
Idx-261,19
Idx-262,12
Idx-263,45
Idx-264,6
Idx-265,68
Idx-266,57
Idx-267,44
Idx-268,53
Idx-269,24
Idx-270,63
Idx-271,50
Idx-272,70
Idx-273,39
Idx-274,16
Idx-275,48
Idx-276,73
Idx-277,32
Idx-278,64
Idx-279,77
Idx-280,60
Idx-281,22
Idx-282,72
Idx-283,59
Idx-284,76
Idx-285,55
Idx-286,36
Idx-287,78
Idx-288,8
Idx-289,11
Idx-290,31
Idx-291,52
Idx-292,37
Idx-293,41
Idx-294,27
Idx-295,26
Idx-296,38
Idx-297,3
Idx-298,69
Idx-299,33
Idx-300,2
Idx-301,66
Idx-302,20
Idx-303,14
Idx-304,75
Idx-305,67
Idx-306,46
Idx-307,51
Idx-308,7
Idx-309,25
Idx-310,74
Idx-311,42
Idx-312,28
Idx-313,17
Idx-314,30
Idx-315,61
Idx-316,4
Idx-317,71
Idx-318,65
Idx-319,13
Idx-320,34
Idx-321,15
Idx-322,62
Idx-323,47
Idx-324,49
Idx-325,23
Idx-326,1
Idx-327,43
Idx-328,10
Idx-329,9
Idx-330,29
Idx-331,5
Idx-332,18
Idx-333,40
Idx-334,56
Idx-335,58
Idx-336,54
Idx-337,21
Idx-338,35
Idx-339,19
Idx-340,12
Idx-341,45
Idx-342,6
Idx-343,68
Idx-344,57
Idx-345,44
Idx-346,53
Idx-347,24
Idx-348,63
Idx-349,50
Idx-350,70
Idx-351,39
Idx-352,16
Idx-353,48
Idx-354,73
Idx-355,32
Idx-356,64
Idx-357,77
Idx-358,60
Idx-359,22
Idx-360,72
Idx-361,59
Idx-362,76
Idx-363,55
Idx-364,36
Idx-365,78
Idx-366,8
Idx-367,11
Idx-368,31
Idx-369,52
Idx-370,37
Idx-371,41
Idx-372,27
Idx-373,26
Idx-374,38
Idx-375,3
Idx-376,69
Idx-377,33
Idx-378,2
Idx-379,66
Idx-380,20
Idx-381,14
Idx-382,75
Idx-383,67
Idx-384,46
Idx-385,51
Idx-386,7
Idx-387,25
Idx-388,74
Idx-389,42
Idx-390,28
Idx-391,17
Idx-392,30
Idx-393,61
Idx-394,4
Idx-395,71
Idx-396,65
Idx-397,13
Idx-398,34
Idx-399,15
Idx-400,62
Idx-401,47
Idx-402,49
Idx-403,23
Idx-404,1
Idx-405,43
Idx-406,10
Idx-407,9
Idx-408,29
Idx-409,5
Idx-410,18
Idx-411,40
Idx-412,56
Idx-413,58
Idx-414,54
Idx-415,21
Idx-416,35
Idx-417,19
Idx-418,12
Idx-419,45
Idx-420,6
Idx-421,68
Idx-422,57
Idx-423,44
Idx-424,53
Idx-425,24
Idx-426,63
Idx-427,50
Idx-428,70
Idx-429,39
Idx-430,16
Idx-431,48
Idx-432,73
Idx-433,32
Idx-434,64
Idx-435,77
Idx-436,60
Idx-437,22
Idx-438,72
Idx-439,59
Idx-440,76
Idx-441,55
Idx-442,36
Idx-443,78
Idx-444,8
Idx-445,11
Idx-446,31
Idx-447,52
Idx-448,37
Idx-449,41
Idx-450,27
Idx-451,26
Idx-452,38
Idx-453,3
Idx-454,69
Idx-455,33
Idx-456,2
Idx-457,66
Idx-458,20
Idx-459,14
Idx-460,75
Idx-461,67
Idx-462,46
Idx-463,51
Idx-464,7
Idx-465,25
Idx-466,74
Idx-467,42
Idx-468,28
Idx-469,17
Idx-470,30
Idx-471,61
Idx-472,4
Idx-473,71
Idx-474,65
Idx-475,13
Idx-476,34
Idx-477,15
Idx-478,62
Idx-479,47
Idx-480,49
Idx-481,23
Idx-482,1
Idx-483,43
Idx-484,10
Idx-485,9
Idx-486,29
Idx-487,5
Idx-488,18
Idx-489,40
Idx-490,56
Idx-491,58
Idx-492,54
Idx-493,21
Idx-494,35
Idx-495,19
Idx-496,12
Idx-497,45
Idx-498,6
Idx-499,68
Idx-500,57
Idx-501,44
Idx-502,53
Idx-503,24
Idx-504,63
Idx-505,50
Idx-506,70
Idx-507,39
Idx-508,16
Idx-509,48
Idx-510,73
Idx-511,32
Idx-512,64
Idx-513,77
Idx-514,60
Idx-515,22
Idx-516,72
Idx-517,59
Idx-518,76
Idx-519,55
Idx-520,36
Idx-521,78
Idx-522,8
Idx-523,11
Idx-524,31
Idx-525,52
Idx-526,37
Idx-527,41
Idx-528,27
Idx-529,26
Idx-530,38
Idx-531,3
Idx-532,69
Idx-533,33
Idx-534,2
Idx-535,66
Idx-536,20
Idx-537,14
Idx-538,75
Idx-539,67
Idx-540,46
Idx-541,51
Idx-542,7
Idx-543,25
Idx-544,74
Idx-545,42
Idx-546,28
Idx-547,17
Idx-548,30
Idx-549,61
Idx-550,4
Idx-551,71
Idx-552,65
Idx-553,13
Idx-554,34
Idx-555,15
Idx-556,62
Idx-557,47
Idx-558,49
Idx-559,23
Idx-560,1
Idx-561,43
Idx-562,10
Idx-563,9
Idx-564,29
Idx-565,5
Idx-566,18
Idx-567,40
Idx-568,56
Idx-569,58
Idx-570,54
Idx-571,21
Idx-572,35
Idx-573,19
Idx-574,12
Idx-575,45
Idx-576,6
Idx-577,68
Idx-578,57
Idx-579,44
Idx-580,53
Idx-581,24
Idx-582,63
Idx-583,50
Idx-584,70
Idx-585,39
Idx-586,16
Idx-587,48
Idx-588,73
Idx-589,32
Idx-590,64
Idx-591,77
Idx-592,60
Idx-593,22
Idx-594,72
Idx-595,59
Idx-596,76
Idx-597,55
Idx-598,36
Idx-599,78
Idx-600,8
Idx-601,11
Idx-602,31
Idx-603,52
Idx-604,37
Idx-605,41
Idx-606,27
Idx-607,26
Idx-608,38
Idx-609,3
Idx-610,69
Idx-611,33
Idx-612,2
Idx-613,66
Idx-614,20
Idx-615,14
Idx-616,75
Idx-617,67
Idx-618,46
Idx-619,51
Idx-620,7
Idx-621,25
Idx-622,74
Idx-623,42
Idx-624,28
Idx-625,17
Idx-626,30
Idx-627,61
Idx-628,4
Idx-629,71
Idx-630,65
Idx-631,13
Idx-632,34
Idx-633,15
Idx-634,62
Idx-635,47
Idx-636,49
Idx-637,23
Idx-638,1
Idx-639,43
Idx-640,10
Idx-641,9
Idx-642,29
Idx-643,5
Idx-644,18
Idx-645,40
Idx-646,56
Idx-647,58
Idx-648,54
Idx-649,21
Idx-650,35
Idx-651,19
Idx-652,12
Idx-653,45
Idx-654,6
Idx-655,68
Idx-656,57
Idx-657,44
Idx-658,53
Idx-659,24
Idx-660,63
Idx-661,50
Idx-662,70
Idx-663,39
Idx-664,16
Idx-665,48
Idx-666,73
Idx-667,32
Idx-668,64
Idx-669,77
Idx-670,60
Idx-671,22
Idx-672,72
Idx-673,59
Idx-674,76
Idx-675,55
Idx-676,36
Idx-677,78
Idx-678,8
Idx-679,11
Idx-680,31
Idx-681,52
Idx-682,37
Idx-683,41
Idx-684,27
Idx-685,26
Idx-686,38
Idx-687,3
Idx-688,69
Idx-689,33
Idx-690,2
Idx-691,66
Idx-692,20
Idx-693,14
Idx-694,75
Idx-695,67
Idx-696,46
Idx-697,51
Idx-698,7
Idx-699,25
Idx-700,74
Idx-701,42
Idx-702,28
Idx-703,17
Idx-704,30
Idx-705,61
Idx-706,4
Idx-707,71
Idx-708,65
Idx-709,13
Idx-710,34
Idx-711,15
Idx-712,62
Idx-713,47
Idx-714,49
Idx-715,23
Idx-716,1
Idx-717,43
Idx-718,10
Idx-719,9
Idx-720,29
Idx-721,5
Idx-722,18
Idx-723,40
Idx-724,56
Idx-725,58
Idx-726,54
Idx-727,21
Idx-728,35
Idx-729,19
Idx-730,12
Idx-731,45
Idx-732,6
Idx-733,68
Idx-734,57
Idx-735,44
Idx-736,53
Idx-737,24
Idx-738,63
Idx-739,50
Idx-740,70
Idx-741,39
Idx-742,16
Idx-743,48
Idx-744,73
Idx-745,32
Idx-746,64
Idx-747,77
Idx-748,60
Idx-749,22
Idx-750,72
Idx-751,59
Idx-752,76
Idx-753,55
Idx-754,36
Idx-755,78
Idx-756,8
Idx-757,11
Idx-758,31
Idx-759,52
Idx-760,37
Idx-761,41
Idx-762,27
Idx-763,26
Idx-764,38
Idx-765,3
Idx-766,69
Idx-767,33
Idx-768,2
Idx-769,66
Idx-770,20
Idx-771,14
Idx-772,75
Idx-773,67
Idx-774,46
Idx-775,51
Idx-776,7
Idx-777,25
Idx-778,74
Idx-779,42
Idx-780,28
Idx-781,17
Idx-782,30
Idx-783,61
Idx-784,4
Idx-785,71
Idx-786,65
Idx-787,13
Idx-788,34
Idx-789,15
Idx-790,62
Idx-791,47
Idx-792,49
Idx-793,23
Idx-794,1
Idx-795,43
Idx-796,10
Idx-797,9
Idx-798,29
Idx-799,5
Idx-800,18
Idx-801,40
Idx-802,56
Idx-803,58
Idx-804,54
Idx-805,21
Idx-806,35
Idx-807,19
Idx-808,12
Idx-809,45
Idx-810,6
Idx-811,68
Idx-812,57
Idx-813,44
Idx-814,53
Idx-815,24
Idx-816,63
Idx-817,50
Idx-818,70
Idx-819,39
Idx-820,16
Idx-821,48
Idx-822,73
Idx-823,32
Idx-824,64
Idx-825,77
Idx-826,60
Idx-827,22
Idx-828,72
Idx-829,59
Idx-830,76
Idx-831,55
Idx-832,36
Idx-833,78
Idx-834,8
Idx-835,11
Idx-836,31
Idx-837,52
Idx-838,37
Idx-839,41
Idx-840,27
Idx-841,26
Idx-842,38
Idx-843,3
Idx-844,69
Idx-845,33
Idx-846,2
Idx-847,66
Idx-848,20
Idx-849,14
Idx-850,75
Idx-851,67
Idx-852,46
Idx-853,51
Idx-854,7
Idx-855,25
Idx-856,74
Idx-857,42
Idx-858,28
Idx-859,17
Idx-860,30
Idx-861,61
Idx-862,4
Idx-863,71
Idx-864,65
Idx-865,13
Idx-866,34
Idx-867,15
Idx-868,62
Idx-869,47
